Aalter; Aalter; Commune; Province de Flandre-Orientale
Keerbergen; Keerbergen; Commune; Province du Brabant flamand
Kinrooi; Kinrooi; Commune; Province de Limbourg
Kluisbergen; Kluisbergen; Commune; Province de Flandre-Orientale
Knokke-Heist; Knokke-Heist; Commune; Province de Flandre-Occidentale
Koekelare; Koekelare; Commune; Province de Flandre-Occidentale
Kontich; Kontich; Commune; Province d'Anvers
Kortemark; Kortemark; Commune; Province de Flandre-Occidentale
Kortenaken; Kortenaken; Commune; Province du Brabant flamand
Kortessem; Kortessem; Commune; Province de Limbourg
Kruibeke; Kruibeke; Commune; Province de Flandre-Orientale
Kruisem; Kruisem; Commune; Province de Flandre-Orientale
Kuurne; Kuurne; Commune; Province de Flandre-Occidentale
Laakdal; Laakdal; Commune; Province d'Anvers
Laerne; Laarne; Commune; Province de Flandre-Orientale
Laethem-Saint-Martin; Sint-Martens-Latem; Commune; Province de Flandre-Orientale
Lanaken; Lanaken; Commune; Province de Limbourg
Landen; Landen; Ville; Province du Brabant flamand
Langemark-Poelkapelle; Langemark-Poelkapelle; Commune; Province de Flandre-Occidentale
Léau; Zoutleeuw; Ville; Province du Brabant flamand
Lebbeke; Lebbeke; Commune; Province de Flandre-Orientale
Lede; Lede; Commune; Province de Flandre-Orientale
Ledegem; Ledegem; Commune; Province de Flandre-Occidentale
Leeuw-Saint-Pierre; Sint-Pieters-Leeuw; Commune; Province du Brabant flamand
Lendelede; Lendelede; Commune; Province de Flandre-Occidentale
Lennik; Lennik; Commune; Province du Brabant flamand
Lichtervelde; Lichtervelde; Commune; Province de Flandre-Occidentale
Liedekerke; Liedekerke; Commune; Province du Brabant flamand
Lierde; Lierde; Commune; Province de Flandre-Orientale
Lierre; Lier; Ville; Province d'Anvers
Lievegem; Lievegem; Commune; Province de Flandre-Orientale
Lille; Lille; Commune; Province d'Anvers
Linkebeek; Linkebeek; Commune à facilités; Province du Brabant flamand
Lint; Lint; Commune; Province d'Anvers
Linter; Linter; Commune; Province du Brabant flamand
Lochristi; Lochristi; Commune; Province de Flandre-Orientale
Lokeren; Lokeren; Ville; Province de Flandre-Orientale
Lommel; Lommel; Ville; Province de Limbourg
Londerzeel; Londerzeel; Commune; Province du Brabant flamand
Lo-Reninge; Lo-Reninge; Ville; Province de Flandre-Occidentale
Louvain; Leuven; Ville; Province du Brabant flamand
Lubbeek; Lubbeek; Commune; Province du Brabant flamand
Lummen; Lummen; Commune; Province de Limbourg
Markedal; Maarkedal; Commune; Province de Flandre-Orientale
Maaseik; Maaseik; Ville; Province de Limbourg
Maasmechelen; Maasmechelen; Commune; Province de Limbourg
Machelen; Machelen; Commune; Province du Brabant flamand
Maldegem; Maldegem; Commune; Province de Flandre-Orientale
Malines; Mechelen; Ville; Province d'Anvers
Malle; Malle; Commune; Province d'Anvers
Meerhout; Meerhout; Commune; Province d'Anvers
Meise; Meise; Commune; Province du Brabant flamand
Melle; Melle; Commune; Province de Flandre-Orientale
Menin; Menen; Ville; Province de Flandre-Occidentale
Merchtem; Merchtem; Commune; Province du Brabant flamand
Merelbeke; Merelbeke; Commune; Province de Flandre-Orientale
Merksplas; Merksplas; Commune; Province d'Anvers
Messines; Mesen; Ville; Province de Flandre-Occidentale
Meulebeke; Meulebeke; Commune; Province de Flandre-Occidentale
Middelkerke; Middelkerke; Commune; Province de Flandre-Occidentale
Moerbeke; Moerbeke; Commune; Province de Flandre-Orientale
Mol; Mol; Commune; Province d'Anvers
Montaigu-Zichem; Scherpenheuvel-Zichem; Ville; Province du Brabant flamand
Moorslede; Moorslede; Commune; Province de Flandre-Occidentale
Mortsel; Mortsel; Ville; Province d'Anvers
Nazareth; Nazareth; Commune; Province de Flandre-Orientale
Niel; Niel; Commune; Province d'Anvers
Nieuport; Nieuwpoort; Ville; Province de Flandre-Occidentale
Nieuwerkerken; Nieuwerkerken; Commune; Province de Limbourg
Nijlen; Nijlen; Commune; Province d'Anvers
Ninove; Ninove; Ville; Province de Flandre-Orientale
Olen; Olen; Commune; Province d'Anvers
Oosterzele; Oosterzele; Commune; Province de Flandre-Orientale
Oostkamp; Oostkamp; Commune; Province de Flandre-Occidentale
Oostrozebeke; Oostrozebeke; Commune; Province de Flandre-Occidentale
Opwijk; Opwijk; Commune; Province du Brabant flamand
Ostende; Oostende; Ville; Province de Flandre-Occidentale
Audembourg; Oudenburg; Ville; Province de Flandre-Occidentale
Oud-Heverlee; Oud-Heverlee; Commune; Province du Brabant flamand
Oudsbergen; Oudsbergen; Commune; Province de Limbourg
Overijse; Overijse; Commune; Province du Brabant flamand
La Panne; De Panne; Commune; Province de Flandre-Occidentale
Peer; Peer; Ville; Province de Limbourg
Pelt; Pelt; Commune; Province de Limbourg
Pepingen; Pepingen; Commune; Province du Brabant flamand
Pittem; Pittem; Commune; Province de Flandre-Occidentale
Poperinge; Poperinge; Ville; Province de Flandre-Occidentale
Putte; Putte; Commune; Province d'Anvers
Puers-Saint-Amand; Puurs-Sint-Amands; Commune; Province d'Anvers
Ranst; Ranst; Commune; Province d'Anvers
Ravels; Ravels; Commune; Province d'Anvers
Renaix; Ronse; Ville et commune à facilités; Province de Flandre-Orientale
Rethy; Retie; Commune; Province d'Anvers
Rhode-Saint-Genèse; Sint-Genesius-Rode; Commune à facilités; Province du Brabant flamand
Riemst; Riemst; Commune; Province de Limbourg
Rijkevorsel; Rijkevorsel; Commune; Province d'Anvers
Roosdaal; Roosdaal; Commune; Province du Brabant flamand
Rotselaar; Rotselaar; Commune; Province du Brabant flamand
Roulers; Roeselare; Ville; Province de Flandre-Occidentale
Ruiselede; Ruiselede; Commune; Province de Flandre-Occidentale
Rumst; Rumst; Commune; Province d'Anvers
Saint-Gilles-Waes; Sint-Gillis-Waas; Commune; Province de Flandre-Orientale
Saint-Laurent; Sint-Laureins; Commune; Province de Flandre-Orientale
Saint-Nicolas; Sint-Niklaas; Ville; Province de Flandre-Orientale
Saint-Trond; Sint-Truiden; Ville; Province de Limbourg
Schelle; Schelle; Commune; Province d'Anvers
Schilde; Schilde; Commune; Province d'Anvers
Schoten; Schoten; Commune; Province d'Anvers
Stabroek; Stabroek; Commune; Province d'Anvers
Staden; Staden; Commune; Province de Flandre-Occidentale
Steenockerzeel; Steenokkerzeel; Commune; Province du Brabant flamand
Stekene; Stekene; Commune; Province de Flandre-Orientale
Tamise; Temse; Commune; Province de Flandre-Orientale
Termonde; Dendermonde; Ville; Province de Flandre-Orientale
Ternat; Ternat; Commune; Province du Brabant flamand
Tervueren; Tervuren; Commune; Province du Brabant flamand
Tessenderlo; Tessenderlo; Commune; Province de Limbourg
Thourout; Torhout; Ville; Province de Flandre-Occidentale
Tielt; Tielt; Ville; Province de Flandre-Occidentale
Tielt-Winge; Tielt-Winge; Commune; Province du Brabant flamand
Tirlemont; Tienen; Ville; Province du Brabant flamand
Tongres; Tongeren; Ville; Province de Limbourg
Tremelo; Tremelo; Commune; Province du Brabant flamand
Turnhout; Turnhout; Ville; Province d'Anvers
Vieux-Turnhout; Oud-Turnhout; Commune; Province d'Anvers
Vilvorde; Vilvoorde; Ville; Province du Brabant flamand
Vleteren; Vleteren; Commune; Province de Flandre-Occidentale
Vorselaer; Vorselaar; Commune; Province d'Anvers
Vosselaer; Vosselaar; Commune; Province d'Anvers
Waesmunster; Waasmunster; Commune; Province de Flandre-Orientale
Wachtebeke; Wachtebeke; Commune; Province de Flandre-Orientale
Waregem; Waregem; Ville; Province de Flandre-Occidentale
Wavre-Sainte-Catherine; Sint-Katelijne-Waver; Commune; Province d'Anvers
Wellen; Wellen; Commune; Province de Limbourg
Wemmel; Wemmel; Commune à facilités; Province du Brabant flamand
Wervicq; Wervik; Ville; Province de Flandre-Occidentale
Westerlo; Westerlo; Commune; Province d'Anvers
Wetteren; Wetteren; Commune; Province de Flandre-Orientale
Wevelgem; Wevelgem; Commune; Province de Flandre-Occidentale
Wezembeek-Oppem; Wezembeek-Oppem; Commune à facilités; Province du Brabant flamand
Wichelen; Wichelen; Commune; Province de Flandre-Orientale
Wielsbeke; Wielsbeke; Commune; Province de Flandre-Occidentale
Wijnegem; Wijnegem; Commune; Province d'Anvers
Willebroek; Willebroek; Commune; Province d'Anvers
Wingene; Wingene; Commune; Province de Flandre-Occidentale
Wommelghem; Wommelgem; Commune; Province d'Anvers
Wortegem-Petegem; Wortegem-Petegem; Commune; Province de Flandre-Orientale
Wuustwezel; Wuustwezel; Commune; Province d'Anvers
Ypres; Ieper; Ville; Province de Flandre-Occidentale
Zandhoven; Zandhoven; Commune; Province d'Anvers
Zaventem; Zaventem; Commune; Province du Brabant flamand
Zedelgem; Zedelgem; Commune; Province de Flandre-Occidentale
Zele; Zele; Commune; Province de Flandre-Orientale
Zelzate; Zelzate; Commune; Province de Flandre-Orientale
Zemst; Zemst; Commune; Province du Brabant flamand
Zoersel; Zoersel; Commune; Province d'Anvers
Zonhoven; Zonhoven; Commune; Province de Limbourg
Zonnebeke; Zonnebeke; Commune; Province de Flandre-Occidentale
Zottegem; Zottegem; Ville; Province de Flandre-Orientale
Zuienkerke; Zuienkerke; Commune; Province de Flandre-Occidentale
Zulte; Zulte; Commune; Province de Flandre-Orientale
Zutendaal; Zutendaal; Commune; Province de Limbourg
Zwalin[1]; Zwalm; Commune; Province de Flandre-Orientale
Zwevegem; Zwevegem; Commune; Province de Flandre-Occidentale
Zwijndrecht; Zwijndrecht; Commune; Province d'Anvers
